uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
7616,29775228,29775228,491876,491876,64.58455882,7616,45288544,45288544,746848,746848,98.06302521,7616,32080972,32080972,511252,511252,67.12867647
7680,30271200,30271200,495972,495972,64.5796875,7680,46041600,46041600,753056,753056,98.05416667,7680,32596320,32596320,515348,515348,67.10260417
7744,30771268,30771268,500068,500068,64.57489669,7744,46800864,46800864,759264,759264,98.04545455,7744,33115764,33115764,519444,519444,67.07696281
7808,31275432,31275432,504164,504164,64.57018443,7808,47566336,47566336,765472,765472,98.03688525,7808,33639304,33639304,523540,523540,67.0517418
7872,31783692,31783692,508260,508260,64.56554878,7872,48338016,48338016,771680,771680,98.02845528,7872,34166940,34166940,527636,527636,67.02693089
7936,32296048,32296048,512356,512356,64.5609879,7936,49115904,49115904,777888,777888,98.02016129,7936,34698672,34698672,531732,531732,67.00252016
8000,32812500,32812500,516452,516452,64.5565,8000,49900000,49900000,784096,784096,98.012,8000,35234500,35234500,535828,535828,66.9785
8064,33333048,33333048,520548,520548,64.55208333,8064,50690304,50690304,790304,790304,98.00396825,8064,35774424,35774424,539924,539924,66.95486111
8128,33857692,33857692,524644,524644,64.54773622,8128,51486816,51486816,796512,796512,97.99606299,8128,36318444,36318444,544020,544020,66.93159449
8192,34386432,34386432,528740,528740,64.54345703,8192,52289536,52289536,802720,802720,97.98828125,8192,36866560,36866560,548116,548116,66.90869141
8256,34919268,34919268,532836,532836,64.53924419,8256,53098464,53098464,808928,808928,97.98062016,8256,37418772,37418772,552212,552212,66.88614341
8320,35456200,35456200,536932,536932,64.53509615,8320,53913600,53913600,815136,815136,97.97307692,8320,37975080,37975080,556308,556308,66.86394231
8384,35997228,35997228,541028,541028,64.53101145,8384,54734944,54734944,821344,821344,97.96564885,8384,38535484,38535484,560404,560404,66.84208015
8448,36542352,36542352,545124,545124,64.52698864,8448,55562496,55562496,827552,827552,97.95833333,8448,39099984,39099984,564500,564500,66.82054924
8512,37091572,37091572,549220,549220,64.52302632,8512,56396256,56396256,833760,833760,97.95112782,8512,39668580,39668580,568596,568596,66.79934211
8576,37644888,37644888,553316,553316,64.51912313,8576,57236224,57236224,839968,839968,97.94402985,8576,40241272,40241272,572692,572692,66.77845149
8640,38202300,38202300,557412,557412,64.51527778,8640,58082400,58082400,846176,846176,97.93703704,8640,40818060,40818060,576788,576788,66.75787037
8704,38763808,38763808,561508,561508,64.51148897,8704,58934784,58934784,852384,852384,97.93014706,8704,41398944,41398944,580884,580884,66.73759191
8768,39329412,39329412,565604,565604,64.50775547,8768,59793376,59793376,858592,858592,97.92335766,8768,41983924,41983924,584980,584980,66.71760949
8832,39899112,39899112,569700,569700,64.50407609,8832,60658176,60658176,864800,864800,97.91666667,8832,42573000,42573000,589076,589076,66.69791667
8896,40472908,40472908,573796,573796,64.50044964,8896,61529184,61529184,871008,871008,97.91007194,8896,43166172,43166172,593172,593172,66.67850719
8960,41050800,41050800,577892,577892,64.496875,8960,62406400,62406400,877216,877216,97.90357143,8960,43763440,43763440,597268,597268,66.659375
9024,41632788,41632788,581988,581988,64.49335106,9024,63289824,63289824,883424,883424,97.89716312,9024,44364804,44364804,601364,601364,66.64051418
9088,42218872,42218872,586084,586084,64.48987676,9088,64179456,64179456,889632,889632,97.89084507,9088,44970264,44970264,605460,605460,66.62191901
9152,42809052,42809052,590180,590180,64.48645105,9152,65075296,65075296,895840,895840,97.88461538,9152,45579820,45579820,609556,609556,66.60358392
9216,43403328,43403328,594276,594276,64.48307292,9216,65977344,65977344,902048,902048,97.87847222,9216,46193472,46193472,613652,613652,66.58550347
9280,44001700,44001700,598372,598372,64.47974138,9280,66885600,66885600,908256,908256,97.87241379,9280,46811220,46811220,617748,617748,66.56767241
9344,44604168,44604168,602468,602468,64.47645548,9344,67800064,67800064,914464,914464,97.86643836,9344,47433064,47433064,621844,621844,66.55008562
9408,45210732,45210732,606564,606564,64.47321429,9408,68720736,68720736,920672,920672,97.86054422,9408,48059004,48059004,625940,625940,66.5327381
9472,45821392,45821392,610660,610660,64.47001689,9472,69647616,69647616,926880,926880,97.85472973,9472,48689040,48689040,630036,630036,66.515625
9536,46436148,46436148,614756,614756,64.46686242,9536,70580704,70580704,933088,933088,97.84899329,9536,49323172,49323172,634132,634132,66.49874161
9600,47055000,47055000,618852,618852,64.46375,9600,71520000,71520000,939296,939296,97.84333333,9600,49961400,49961400,638228,638228,66.48208333
9664,47677948,47677948,622948,622948,64.46067881,9664,72465504,72465504,945504,945504,97.83774834,9664,50603724,50603724,642324,642324,66.4656457
9728,48304992,48304992,627044,627044,64.45764803,9728,73417216,73417216,951712,951712,97.83223684,9728,51250144,51250144,646420,646420,66.44942434
9792,48936132,48936132,631140,631140,64.45465686,9792,74375136,74375136,957920,957920,97.82679739,9792,51900660,51900660,650516,650516,66.43341503
9856,49571368,49571368,635236,635236,64.45170455,9856,75339264,75339264,964128,964128,97.82142857,9856,52555272,52555272,654612,654612,66.41761364
9920,50210700,50210700,639332,639332,64.44879032,9920,76309600,76309600,970336,970336,97.81612903,9920,53213980,53213980,658708,658708,66.40201613
9984,50854128,50854128,643428,643428,64.44591346,9984,77286144,77286144,976544,976544,97.81089744,9984,53876784,53876784,662804,662804,66.38661859
10048,51501652,51501652,647524,647524,64.44307325,10048,78268896,78268896,982752,982752,97.80573248,10048,54543684,54543684,666900,666900,66.3714172
10112,52153272,52153272,651620,651620,64.44026899,10112,79257856,79257856,988960,988960,97.80063291,10112,55214680,55214680,670996,670996,66.35640823
10176,52808988,52808988,655716,655716,64.4375,10176,80253024,80253024,995168,995168,97.79559748,10176,55889772,55889772,675092,675092,66.34158805
10240,53468800,53468800,659812,659812,64.43476563,10240,81254400,81254400,1001376,1001376,97.790625,10240,56568960,56568960,679188,679188,66.32695313
10304,54132708,54132708,663908,663908,64.43206522,10304,82261984,82261984,1007584,1007584,97.78571429,10304,57252244,57252244,683284,683284,66.3125
10368,54800712,54800712,668004,668004,64.42939815,10368,83275776,83275776,1013792,1013792,97.7808642,10368,57939624,57939624,687380,687380,66.29822531
10432,55472812,55472812,672100,672100,64.4267638,10432,84295776,84295776,1020000,1020000,97.77607362,10432,58631100,58631100,691476,691476,66.28412577
10496,56149008,56149008,676196,676196,64.42416159,10496,85321984,85321984,1026208,1026208,97.77134146,10496,59326672,59326672,695572,695572,66.27019817
10560,56829300,56829300,680292,680292,64.42159091,10560,86354400,86354400,1032416,1032416,97.76666667,10560,60026340,60026340,699668,699668,66.25643939
10624,57513688,57513688,684388,684388,64.4190512,10624,87393024,87393024,1038624,1038624,97.76204819,10624,60730104,60730104,703764,703764,66.24284639
10688,58202172,58202172,688484,688484,64.41654192,10688,88437856,88437856,1044832,1044832,97.75748503,10688,61437964,61437964,707860,707860,66.22941617
10752,58894752,58894752,692580,692580,64.4140625,10752,89488896,89488896,1051040,1051040,97.75297619,10752,62149920,62149920,711956,711956,66.21614583
10816,59591428,59591428,696676,696676,64.41161243,10816,90546144,90546144,1057248,1057248,97.74852071,10816,62865972,62865972,716052,716052,66.20303254
10880,60292200,60292200,700772,700772,64.40919118,10880,91609600,91609600,1063456,1063456,97.74411765,10880,63586120,63586120,720148,720148,66.19007353
10944,60997068,60997068,704868,704868,64.40679825,10944,92679264,92679264,1069664,1069664,97.73976608,10944,64310364,64310364,724244,724244,66.17726608
11008,61706032,61706032,708964,708964,64.40443314,11008,93755136,93755136,1075872,1075872,97.73546512,11008,65038704,65038704,728340,728340,66.16460756
11072,62419092,62419092,713060,713060,64.40209538,11072,94837216,94837216,1082080,1082080,97.73121387,11072,65771140,65771140,732436,732436,66.15209538
11136,63136248,63136248,717156,717156,64.39978448,11136,95925504,95925504,1088288,1088288,97.72701149,11136,66507672,66507672,736532,736532,66.13972701
11200,63857500,63857500,721252,721252,64.3975,11200,97020000,97020000,1094496,1094496,97.72285714,11200,67248300,67248300,740628,740628,66.1275
11264,64582848,64582848,725348,725348,64.39524148,11264,98120704,98120704,1100704,1100704,97.71875,11264,67993024,67993024,744724,744724,66.11541193
11328,65312292,65312292,729444,729444,64.39300847,11328,99227616,99227616,1106912,1106912,97.71468927,11328,68741844,68741844,748820,748820,66.10346045
